name,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
adam_1_Dirichlet_explicit_2_100,0.000239001,0.004078233,0.006876091,0.008715979,0.01028054,0.01162507,0.012542809,0.013205348,0.013710996,0.013929621,0.014256461,0.014277792,0.014092589,0.014113089,0.013992131,0.014066293,0.013876303,0.013874207,0.014149289,0.013494824,0.013901191,0.014390295,0.014855241,0.016421789,0.018244703
adam_2_Dirichlet_explicit_2_100,0.000260221,0.001347887,0.00215457,0.002748431,0.003268591,0.003657488,0.004108119,0.004301818,0.004358646,0.0044983,0.004372386,0.004859589,0.004771718,0.004650135,0.004831744,0.004841206,0.004745064,0.004881216,0.004989412,0.005025751,0.005070023,0.005258786,0.005500648,0.005328115,0.005572094
adam_3_Dirichlet_explicit_2_100,0.000265484,0.001126957,0.001614376,0.002082734,0.002464211,0.002663877,0.00261143,0.002897737,0.003042155,0.002923506,0.003107683,0.003035477,0.00301147,0.003082766,0.003070001,0.003057964,0.003183521,0.00295707,0.003002311,0.003422242,0.003662854,0.003990665,0.004225449,0.004174733,0.004621375
improv_1_Dirichlet_explicit_2_100,0.000267962,0.000218243,0.000217176,0.000224709,0.000232023,0.000234166,0.00024935,0.000261513,0.000269594,0.000283688,0.000294643,0.000310801,0.000329427,0.000348314,0.000362625,0.000398796,0.000426811,0.000465084,0.000575766,0.000483476,0.000524014,0.000600313,0.000576637,0.000642243,0.000641917
improv_2_Dirichlet_explicit_2_100,0.000267961,0.0002126,0.000205977,0.000207939,0.000207813,0.000203602,0.00021114,0.000215426,0.000216867,0.000220214,0.00022371,0.000229058,0.000237555,0.000242725,0.000247016,0.000264952,0.000277944,0.000292776,0.000387686,0.00028935,0.000304625,0.000343901,0.00031873,0.000345723,0.00034361
improv_3_Dirichlet_explicit_2_100,0.000267962,0.000217137,0.000209438,0.00020491,0.000192797,0.00016701,0.000191751,0.00019104,0.000187817,0.000189967,0.000174619,0.000163435,0.000164418,0.000174341,0.000169865,0.000168103,0.000140263,0.000157995,0.000213538,0.00015088,0.000154259,0.0001525,0.000122791,0.000124208,0.000118552
adam_1_Dirichlet_explicit_4_100,0.00036997,0.007426883,0.011670517,0.015355184,0.017545124,0.019277091,0.021099805,0.022428606,0.023856128,0.025220655,0.026092346,0.027214443,0.028218676,0.02892808,0.029544454,0.03043296,0.031133765,0.031023117,0.030879762,0.031923729,0.032038671,0.032493448,0.033214722,0.03545546,0.038788395
adam_2_Dirichlet_explicit_4_100,0.00038378,0.00256823,0.004192052,0.005383839,0.006293366,0.006990384,0.007662556,0.008424693,0.009307382,0.009493747,0.009989991,0.010862483,0.01065707,0.01102458,0.011674177,0.01213181,0.012042702,0.012040412,0.012231292,0.012367274,0.012988721,0.012571094,0.012737525,0.012852986,0.012809813
adam_3_Dirichlet_explicit_4_100,0.000379424,0.001913941,0.003005192,0.00349313,0.003870419,0.003846829,0.004291918,0.004674682,0.004436717,0.0050888,0.005151026,0.005433045,0.006002329,0.006370063,0.0062066,0.006737325,0.007074702,0.007704215,0.007604162,0.007970152,0.007702374,0.008253181,0.008386939,0.00866594,0.009737581
improv_1_Dirichlet_explicit_4_100,0.000381016,0.000442422,0.000640727,0.000939727,0.00138212,0.001839982,0.002500111,0.002845533,0.003275755,0.00376092,0.00423269,0.004854145,0.005256778,0.005725013,0.005988116,0.006473226,0.007228675,0.007839774,0.008406046,0.009228697,0.009927666,0.010493709,0.011145144,0.011735741,0.012458173
improv_2_Dirichlet_explicit_4_100,0.000380374,0.000415731,0.000428581,0.000538571,0.00071928,0.00090632,0.001136457,0.001203875,0.001546292,0.001625059,0.001704211,0.001894346,0.002008634,0.002113504,0.002156383,0.002358572,0.002360569,0.002407328,0.002661647,0.00253208,0.002576853,0.002648841,0.002474985,0.002118384,0.002198147
improv_3_Dirichlet_explicit_4_100,0.000380397,0.000421163,0.000396108,0.000413312,0.000470664,0.000527309,0.000591432,0.000661595,0.000727134,0.000741833,0.000837185,0.00090979,0.000944408,0.001005672,0.000964135,0.000969779,0.001051549,0.00102977,0.000961287,0.001048237,0.001045731,0.001060606,0.001018717,0.001147986,0.00131196
adam_1_periodic_explicit_5_100,0.000754445,0.010018019,0.014610387,0.017702799,0.019995729,0.022125196,0.024837673,0.027498684,0.030017476,0.032416832,0.034628161,0.036729286,0.038709311,0.040624712,0.042513194,0.044069925,0.045713999,0.047324727,0.048448428,0.049950442,0.050936611,0.05226154,0.052979907,0.05407562,0.054526756
adam_2_periodic_explicit_5_100,0.000740481,0.012372531,0.016388665,0.018297547,0.01899603,0.018719238,0.018109598,0.017229001,0.016435874,0.015355097,0.014524352,0.013549078,0.012828977,0.012025608,0.011591652,0.010931921,0.010411978,0.009909727,0.009449663,0.009264018,0.00941115,0.009737585,0.009952881,0.009905463,0.010281882
